Sample in Buffer,Sample in Window,TRIGGER,tsm_I_1[11:0],tsm_Q_1[11:0],tsm_I[11:0],tsm_Q[11:0],rev_I[11:0],rev_Q[11:0],rev_valid_1,rev_valid_2,rev_valid_3,rev_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,SIGNED,SIGNED,HEX,HEX,HEX,HEX
1766,1766,0,002,802,002,802,-1449,-694,1,1,1,1
1767,1767,0,002,802,002,802,-1202,-1328,1,1,1,1
1768,1768,0,7fe,002,7fe,002,789,-343,1,1,1,1
1769,1769,0,7fe,002,7fe,002,2047,734,1,1,1,1
1770,1770,0,ffe,7fe,ffe,7fe,1322,1088,1,1,1,1
1771,1771,0,ffe,7fe,ffe,7fe,106,689,1,1,1,1
1772,1772,0,802,ffe,802,ffe,-654,-61,1,1,1,1
1773,1773,0,002,802,002,802,-1421,-945,1,1,1,1
1774,1774,0,002,802,002,802,-1559,-1325,1,1,1,1
1775,1775,0,7fe,002,7fe,002,-1214,-308,1,1,1,1
1776,1776,0,7fe,002,7fe,002,-1109,347,1,1,1,1
1777,1777,0,ffe,7fe,ffe,7fe,-1370,-624,1,1,1,1
1778,1778,0,ffe,7fe,ffe,7fe,-1207,-1386,1,1,1,1
1779,1779,0,802,ffe,802,ffe,731,-341,1,1,1,1
1780,1780,0,802,ffe,802,ffe,2047,726,1,1,1,1
1781,1781,0,002,802,002,802,1345,1113,1,1,1,1
1782,1782,0,002,802,002,802,70,670,1,1,1,1
1783,1783,0,7fe,002,7fe,002,-668,62,1,1,1,1
1784,1784,0,7fe,002,7fe,002,-1212,1,1,1,1,1
1785,1785,0,ffe,7fe,ffe,7fe,-1466,-689,1,1,1,1
1786,1786,0,ffe,7fe,ffe,7fe,-1167,-1375,1,1,1,1
1787,1787,0,802,ffe,802,ffe,640,-170,1,1,1,1
1788,1788,0,002,802,002,802,1489,1375,1,1,1,1
1789,1789,0,002,802,002,802,332,911,1,1,1,1
1790,1790,0,802,ffe,802,ffe,-761,1,1,1,1,1
1791,1791,0,802,ffe,802,ffe,-1245,-70,1,1,1,1
1792,1792,0,002,802,002,802,-1438,-705,1,1,1,1
1793,1793,0,002,802,002,802,-1168,-1281,1,1,1,1
1794,1794,0,7fe,002,7fe,002,757,-354,1,1,1,1
1795,1795,0,7fe,002,7fe,002,2047,687,1,1,1,1
1796,1796,0,ffe,7fe,ffe,7fe,1360,1103,1,1,1,1
1797,1797,0,ffe,7fe,ffe,7fe,87,656,1,1,1,1
1798,1798,0,802,ffe,802,ffe,-696,60,1,1,1,1
1799,1799,0,802,ffe,802,ffe,-1202,-14,1,1,1,1
1800,1800,0,002,802,002,802,-1424,-704,1,1,1,1
1801,1801,0,002,802,002,802,-1209,-1359,1,1,1,1
1802,1802,0,7fe,002,7fe,002,667,-180,1,1,1,1
1803,1803,0,ffe,7fe,ffe,7fe,1491,1371,1,1,1,1
1804,1804,0,ffe,7fe,ffe,7fe,604,790,1,1,1,1
1805,1805,0,802,ffe,802,ffe,1219,-828,1,1,1,1
1806,1806,0,802,ffe,802,ffe,2047,-395,1,1,1,1
1807,1807,0,002,802,002,802,1270,1094,1,1,1,1
1808,1808,0,002,802,002,802,131,875,1,1,1,1
1809,1809,0,7fe,002,7fe,002,-673,39,1,1,1,1
1810,1810,0,7fe,002,7fe,002,-1244,-91,1,1,1,1
1811,1811,0,ffe,7fe,ffe,7fe,-1425,-709,1,1,1,1
1812,1812,0,ffe,7fe,ffe,7fe,-1191,-1288,1,1,1,1
1813,1813,0,802,ffe,802,ffe,757,-356,1,1,1,1
1814,1814,0,802,ffe,802,ffe,2047,712,1,1,1,1
1815,1815,0,002,802,002,802,1356,1120,1,1,1,1
1816,1816,0,002,802,002,802,106,673,1,1,1,1
1817,1817,0,7fe,002,7fe,002,-654,-50,1,1,1,1
1818,1818,0,ffe,7fe,ffe,7fe,-1430,-921,1,1,1,1
1819,1819,0,ffe,7fe,ffe,7fe,-1290,-1367,1,1,1,1
1820,1820,0,7fe,002,7fe,002,777,-320,1,1,1,1
1821,1821,0,7fe,002,7fe,002,2047,718,1,1,1,1
1822,1822,0,ffe,7fe,ffe,7fe,1300,1101,1,1,1,1
1823,1823,0,ffe,7fe,ffe,7fe,86,670,1,1,1,1
1824,1824,0,802,ffe,802,ffe,-651,75,1,1,1,1
1825,1825,0,802,ffe,802,ffe,-1231,-24,1,1,1,1
1826,1826,0,002,802,002,802,-1469,-718,1,1,1,1
1827,1827,0,002,802,002,802,-1153,-1298,1,1,1,1
1828,1828,0,7fe,002,7fe,002,748,-359,1,1,1,1
1829,1829,0,7fe,002,7fe,002,2047,718,1,1,1,1
1830,1830,0,ffe,7fe,ffe,7fe,1352,1104,1,1,1,1
1831,1831,0,ffe,7fe,ffe,7fe,96,690,1,1,1,1
1832,1832,0,802,ffe,802,ffe,-685,-70,1,1,1,1
1833,1833,0,002,802,002,802,-1373,-926,1,1,1,1
1834,1834,0,002,802,002,802,-1562,-1348,1,1,1,1
1835,1835,0,7fe,002,7fe,002,-1251,-314,1,1,1,1
1836,1836,0,7fe,002,7fe,002,-1067,360,1,1,1,1
1837,1837,0,ffe,7fe,ffe,7fe,-1397,-625,1,1,1,1
1838,1838,0,ffe,7fe,ffe,7fe,-1243,-1410,1,1,1,1
1839,1839,0,802,ffe,802,ffe,801,-362,1,1,1,1
1840,1840,0,802,ffe,802,ffe,2047,756,1,1,1,1
1841,1841,0,002,802,002,802,1334,1087,1,1,1,1
1842,1842,0,002,802,002,802,100,644,1,1,1,1
1843,1843,0,7fe,002,7fe,002,-695,113,1,1,1,1
1844,1844,0,7fe,002,7fe,002,-1225,-21,1,1,1,1
1845,1845,0,ffe,7fe,ffe,7fe,-1440,-706,1,1,1,1
1846,1846,0,ffe,7fe,ffe,7fe,-1183,-1322,1,1,1,1
1847,1847,0,802,ffe,802,ffe,641,-214,1,1,1,1
1848,1848,0,002,802,002,802,1480,1370,1,1,1,1
1849,1849,0,002,802,002,802,347,930,1,1,1,1
1850,1850,0,802,ffe,802,ffe,-776,-22,1,1,1,1
1851,1851,0,802,ffe,802,ffe,-1239,-77,1,1,1,1
1852,1852,0,002,802,002,802,-1410,-667,1,1,1,1
1853,1853,0,002,802,002,802,-1187,-1331,1,1,1,1
1854,1854,0,7fe,002,7fe,002,781,-361,1,1,1,1
1855,1855,0,7fe,002,7fe,002,2047,730,1,1,1,1
1856,1856,0,ffe,7fe,ffe,7fe,1330,1092,1,1,1,1
1857,1857,0,ffe,7fe,ffe,7fe,75,673,1,1,1,1
1858,1858,0,802,ffe,802,ffe,-672,86,1,1,1,1
1859,1859,0,802,ffe,802,ffe,-1229,-25,1,1,1,1
1860,1860,0,002,802,002,802,-1436,-706,1,1,1,1
1861,1861,0,002,802,002,802,-1179,-1343,1,1,1,1
1862,1862,0,7fe,002,7fe,002,631,-185,1,1,1,1
1863,1863,0,ffe,7fe,ffe,7fe,1481,1372,1,1,1,1
1864,1864,0,ffe,7fe,ffe,7fe,610,833,1,1,1,1
1865,1865,0,802,ffe,802,ffe,1213,-595,1,1,1,1
1866,1866,0,802,ffe,802,ffe,2047,-232,1,1,1,1
1867,1867,0,002,802,002,802,1316,1104,1,1,1,1
1868,1868,0,002,802,002,802,96,833,1,1,1,1
1869,1869,0,7fe,002,7fe,002,-662,19,1,1,1,1
1870,1870,0,7fe,002,7fe,002,-1206,-37,1,1,1,1
1871,1871,0,ffe,7fe,ffe,7fe,-1461,-690,1,1,1,1
1872,1872,0,ffe,7fe,ffe,7fe,-1178,-1316,1,1,1,1
1873,1873,0,802,ffe,802,ffe,773,-346,1,1,1,1
1874,1874,0,802,ffe,802,ffe,2047,736,1,1,1,1
1875,1875,0,002,802,002,802,1351,1083,1,1,1,1
1876,1876,0,002,802,002,802,106,695,1,1,1,1
1877,1877,0,7fe,002,7fe,002,-645,-46,1,1,1,1
1878,1878,0,ffe,7fe,ffe,7fe,-1448,-952,1,1,1,1
1879,1879,0,ffe,7fe,ffe,7fe,-1271,-1311,1,1,1,1
1880,1880,0,7fe,002,7fe,002,787,-318,1,1,1,1
1881,1881,0,7fe,002,7fe,002,2047,716,1,1,1,1
1882,1882,0,ffe,7fe,ffe,7fe,1320,1107,1,1,1,1
1883,1883,0,ffe,7fe,ffe,7fe,92,683,1,1,1,1
1884,1884,0,802,ffe,802,ffe,-673,48,1,1,1,1
1885,1885,0,802,ffe,802,ffe,-1208,-2,1,1,1,1
1886,1886,0,002,802,002,802,-1421,-687,1,1,1,1
1887,1887,0,002,802,002,802,-1185,-1337,1,1,1,1
1888,1888,0,7fe,002,7fe,002,760,-331,1,1,1,1
1889,1889,0,7fe,002,7fe,002,2047,720,1,1,1,1
1890,1890,0,ffe,7fe,ffe,7fe,1299,1094,1,1,1,1
1891,1891,0,ffe,7fe,ffe,7fe,121,685,1,1,1,1
1892,1892,0,802,ffe,802,ffe,-673,-53,1,1,1,1
1893,1893,0,002,802,002,802,-1427,-917,1,1,1,1
1894,1894,0,002,802,002,802,-1525,-1342,1,1,1,1
1895,1895,0,7fe,002,7fe,002,-1231,-315,1,1,1,1
1896,1896,0,7fe,002,7fe,002,-1083,364,1,1,1,1
1897,1897,0,ffe,7fe,ffe,7fe,-1330,-646,1,1,1,1
1898,1898,0,ffe,7fe,ffe,7fe,-1237,-1383,1,1,1,1
1899,1899,0,802,ffe,802,ffe,760,-358,1,1,1,1
1900,1900,0,802,ffe,802,ffe,2047,741,1,1,1,1
1901,1901,0,002,802,002,802,1335,1124,1,1,1,1
1902,1902,0,002,802,002,802,101,628,1,1,1,1
1903,1903,0,7fe,002,7fe,002,-706,67,1,1,1,1
1904,1904,0,7fe,002,7fe,002,-1228,-13,1,1,1,1
1905,1905,0,ffe,7fe,ffe,7fe,-1440,-705,1,1,1,1
1906,1906,0,ffe,7fe,ffe,7fe,-1187,-1344,1,1,1,1
1907,1907,0,802,ffe,802,ffe,654,-182,1,1,1,1
1908,1908,0,002,802,002,802,1471,1351,1,1,1,1
1909,1909,0,002,802,002,802,355,918,1,1,1,1
1910,1910,0,802,ffe,802,ffe,-785,-30,1,1,1,1
1911,1911,0,802,ffe,802,ffe,-1252,-60,1,1,1,1
1912,1912,0,002,802,002,802,-1426,-696,1,1,1,1
1913,1913,0,002,802,002,802,-1175,-1286,1,1,1,1
1914,1914,0,7fe,002,7fe,002,753,-346,1,1,1,1
1915,1915,0,7fe,002,7fe,002,2047,729,1,1,1,1
1916,1916,0,ffe,7fe,ffe,7fe,1335,1118,1,1,1,1
1917,1917,0,ffe,7fe,ffe,7fe,80,659,1,1,1,1
1918,1918,0,802,ffe,802,ffe,-677,64,1,1,1,1
1919,1919,0,802,ffe,802,ffe,-1222,-24,1,1,1,1
1920,1920,0,002,802,002,802,-1442,-700,1,1,1,1
1921,1921,0,002,802,002,802,-1159,-1359,1,1,1,1
1922,1922,0,7fe,002,7fe,002,645,-174,1,1,1,1
1923,1923,0,ffe,7fe,ffe,7fe,1476,1387,1,1,1,1
1924,1924,0,ffe,7fe,ffe,7fe,637,779,1,1,1,1
1925,1925,0,802,ffe,802,ffe,1191,-814,1,1,1,1
1926,1926,0,802,ffe,802,ffe,2047,-419,1,1,1,1
1927,1927,0,002,802,002,802,1310,1080,1,1,1,1
1928,1928,0,002,802,002,802,136,910,1,1,1,1
1929,1929,0,7fe,002,7fe,002,-673,12,1,1,1,1
1930,1930,0,7fe,002,7fe,002,-1241,-54,1,1,1,1
1931,1931,0,ffe,7fe,ffe,7fe,-1413,-666,1,1,1,1
1932,1932,0,ffe,7fe,ffe,7fe,-1178,-1323,1,1,1,1
1933,1933,0,802,ffe,802,ffe,771,-355,1,1,1,1
1934,1934,0,802,ffe,802,ffe,2047,724,1,1,1,1
1935,1935,0,002,802,002,802,1328,1099,1,1,1,1
1936,1936,0,002,802,002,802,96,669,1,1,1,1
1937,1937,0,7fe,002,7fe,002,-643,-51,1,1,1,1
1938,1938,0,ffe,7fe,ffe,7fe,-1476,-932,1,1,1,1
1939,1939,0,ffe,7fe,ffe,7fe,-1280,-1360,1,1,1,1
1940,1940,0,7fe,002,7fe,002,797,-302,1,1,1,1
1941,1941,0,7fe,002,7fe,002,2047,712,1,1,1,1
1942,1942,0,ffe,7fe,ffe,7fe,1311,1093,1,1,1,1
1943,1943,0,ffe,7fe,ffe,7fe,101,676,1,1,1,1
1944,1944,0,802,ffe,802,ffe,-703,80,1,1,1,1
1945,1945,0,802,ffe,802,ffe,-1242,-24,1,1,1,1
1946,1946,0,002,802,002,802,-1439,-692,1,1,1,1
1947,1947,0,002,802,002,802,-1184,-1298,1,1,1,1
1948,1948,0,7fe,002,7fe,002,760,-374,1,1,1,1
1949,1949,0,7fe,002,7fe,002,2047,726,1,1,1,1
1950,1950,0,ffe,7fe,ffe,7fe,1331,1121,1,1,1,1
1951,1951,0,ffe,7fe,ffe,7fe,98,669,1,1,1,1
1952,1952,0,802,ffe,802,ffe,-666,-62,1,1,1,1
1953,1953,0,002,802,002,802,-1429,-924,1,1,1,1
1954,1954,0,002,802,002,802,-1571,-1347,1,1,1,1
1955,1955,0,7fe,002,7fe,002,-1212,-337,1,1,1,1
1956,1956,0,7fe,002,7fe,002,-1072,389,1,1,1,1
1957,1957,0,ffe,7fe,ffe,7fe,-1389,-642,1,1,1,1
1958,1958,0,ffe,7fe,ffe,7fe,-1224,-1392,1,1,1,1
1959,1959,0,802,ffe,802,ffe,757,-304,1,1,1,1
1960,1960,0,802,ffe,802,ffe,2047,713,1,1,1,1
1961,1961,0,002,802,002,802,1348,1079,1,1,1,1
1962,1962,0,002,802,002,802,98,677,1,1,1,1
1963,1963,0,7fe,002,7fe,002,-711,60,1,1,1,1
1964,1964,0,7fe,002,7fe,002,-1205,-38,1,1,1,1
1965,1965,0,ffe,7fe,ffe,7fe,-1454,-676,1,1,1,1
1966,1966,0,ffe,7fe,ffe,7fe,-1187,-1349,1,1,1,1
1967,1967,0,802,ffe,802,ffe,642,-206,1,1,1,1
1968,1968,0,002,802,002,802,1489,1386,1,1,1,1
1969,1969,0,002,802,002,802,344,904,1,1,1,1
1970,1970,0,802,ffe,802,ffe,-774,-49,1,1,1,1
1971,1971,0,802,ffe,802,ffe,-1222,-35,1,1,1,1
1972,1972,0,002,802,002,802,-1424,-685,1,1,1,1
1973,1973,0,002,802,002,802,-1198,-1319,1,1,1,1
1974,1974,0,7fe,002,7fe,002,773,-352,1,1,1,1
1975,1975,0,7fe,002,7fe,002,2047,723,1,1,1,1
1976,1976,0,ffe,7fe,ffe,7fe,1353,1065,1,1,1,1
1977,1977,0,ffe,7fe,ffe,7fe,99,664,1,1,1,1
1978,1978,0,802,ffe,802,ffe,-694,90,1,1,1,1
1979,1979,0,802,ffe,802,ffe,-1213,-58,1,1,1,1
1980,1980,0,002,802,002,802,-1463,-685,1,1,1,1
1981,1981,0,002,802,002,802,-1165,-1328,1,1,1,1
1982,1982,0,7fe,002,7fe,002,626,-229,1,1,1,1
1983,1983,0,ffe,7fe,ffe,7fe,1478,1406,1,1,1,1
1984,1984,0,ffe,7fe,ffe,7fe,622,833,1,1,1,1
1985,1985,0,802,ffe,802,ffe,1211,-636,1,1,1,1
1986,1986,0,802,ffe,802,ffe,2047,-206,1,1,1,1
1987,1987,0,002,802,002,802,1288,1093,1,1,1,1
1988,1988,0,002,802,002,802,96,818,1,1,1,1
1989,1989,0,7fe,002,7fe,002,-693,47,1,1,1,1
1990,1990,0,7fe,002,7fe,002,-1215,-52,1,1,1,1
1991,1991,0,ffe,7fe,ffe,7fe,-1472,-719,1,1,1,1
1992,1992,0,ffe,7fe,ffe,7fe,-1199,-1294,1,1,1,1
1993,1993,0,802,ffe,802,ffe,777,-328,1,1,1,1
1994,1994,0,802,ffe,802,ffe,2047,689,1,1,1,1
1995,1995,0,002,802,002,802,1329,1095,1,1,1,1
1996,1996,0,002,802,002,802,113,683,1,1,1,1
1997,1997,0,7fe,002,7fe,002,-670,-81,1,1,1,1
1998,1998,0,ffe,7fe,ffe,7fe,-1450,-917,1,1,1,1
1999,1999,0,ffe,7fe,ffe,7fe,-1248,-1328,1,1,1,1
2000,2000,0,7fe,002,7fe,002,782,-321,1,1,1,1
2001,2001,0,7fe,002,7fe,002,2047,720,1,1,1,1
2002,2002,0,ffe,7fe,ffe,7fe,1355,1100,1,1,1,1
2003,2003,0,ffe,7fe,ffe,7fe,46,672,1,1,1,1
2004,2004,0,802,ffe,802,ffe,-675,62,1,1,1,1
2005,2005,0,802,ffe,802,ffe,-1209,-27,1,1,1,1
2006,2006,0,002,802,002,802,-1472,-707,1,1,1,1
2007,2007,0,002,802,002,802,-1177,-1319,1,1,1,1
2008,2008,0,7fe,002,7fe,002,786,-346,1,1,1,1
2009,2009,0,7fe,002,7fe,002,2047,726,1,1,1,1
2010,2010,0,ffe,7fe,ffe,7fe,1318,1080,1,1,1,1
2011,2011,0,ffe,7fe,ffe,7fe,100,684,1,1,1,1
2012,2012,0,802,ffe,802,ffe,-673,-47,1,1,1,1
2013,2013,0,002,802,002,802,-1437,-935,1,1,1,1
2014,2014,0,002,802,002,802,-1548,-1311,1,1,1,1
2015,2015,0,7fe,002,7fe,002,-1222,-319,1,1,1,1
2016,2016,0,7fe,002,7fe,002,-1103,361,1,1,1,1
2017,2017,0,ffe,7fe,ffe,7fe,-1368,-632,1,1,1,1
2018,2018,0,ffe,7fe,ffe,7fe,-1230,-1405,1,1,1,1
2019,2019,0,802,ffe,802,ffe,759,-352,1,1,1,1
2020,2020,0,802,ffe,802,ffe,2047,739,1,1,1,1
2021,2021,0,002,802,002,802,1325,1083,1,1,1,1
2022,2022,0,002,802,002,802,77,660,1,1,1,1
2023,2023,0,7fe,002,7fe,002,-663,66,1,1,1,1
2024,2024,0,7fe,002,7fe,002,-1216,-17,1,1,1,1
2025,2025,0,ffe,7fe,ffe,7fe,-1441,-697,1,1,1,1
2026,2026,0,ffe,7fe,ffe,7fe,-1181,-1360,1,1,1,1
2027,2027,0,802,ffe,802,ffe,649,-166,1,1,1,1
2028,2028,0,002,802,002,802,1478,1360,1,1,1,1
2029,2029,0,002,802,002,802,341,925,1,1,1,1
2030,2030,0,802,ffe,802,ffe,-758,-20,1,1,1,1
2031,2031,0,802,ffe,802,ffe,-1275,-60,1,1,1,1
2032,2032,0,002,802,002,802,-1439,-687,1,1,1,1
2033,2033,0,002,802,002,802,-1162,-1305,1,1,1,1
2034,2034,0,7fe,002,7fe,002,759,-344,1,1,1,1
2035,2035,0,7fe,002,7fe,002,2047,715,1,1,1,1
2036,2036,0,ffe,7fe,ffe,7fe,1375,1084,1,1,1,1
2037,2037,0,ffe,7fe,ffe,7fe,60,677,1,1,1,1
2038,2038,0,802,ffe,802,ffe,-683,75,1,1,1,1
2039,2039,0,802,ffe,802,ffe,-1193,-36,1,1,1,1
2040,2040,0,002,802,002,802,-1465,-681,1,1,1,1
2041,2041,0,002,802,002,802,-1156,-1351,1,1,1,1
2042,2042,0,7fe,002,7fe,002,634,-206,1,1,1,1
2043,2043,0,ffe,7fe,ffe,7fe,1452,1402,1,1,1,1
2044,2044,0,ffe,7fe,ffe,7fe,631,807,1,1,1,1
2045,2045,0,802,ffe,802,ffe,1198,-594,1,1,1,1
2046,2046,0,802,ffe,802,ffe,2047,-215,1,1,1,1
2047,2047,0,002,802,002,802,1293,1088,1,1,1,1
2048,2048,0,002,802,002,802,152,825,1,1,1,1
2049,2049,0,7fe,002,7fe,002,-685,31,1,1,1,1
2050,2050,0,7fe,002,7fe,002,-1190,-40,1,1,1,1
2051,2051,0,ffe,7fe,ffe,7fe,-1440,-718,1,1,1,1
2052,2052,0,ffe,7fe,ffe,7fe,-1190,-1297,1,1,1,1
2053,2053,0,802,ffe,802,ffe,780,-360,1,1,1,1
2054,2054,0,802,ffe,802,ffe,2047,712,1,1,1,1
2055,2055,0,002,802,002,802,1325,1114,1,1,1,1
2056,2056,0,002,802,002,802,105,671,1,1,1,1
2057,2057,0,7fe,002,7fe,002,-667,-59,1,1,1,1
2058,2058,0,ffe,7fe,ffe,7fe,-1452,-926,1,1,1,1
2059,2059,0,ffe,7fe,ffe,7fe,-1291,-1354,1,1,1,1
2060,2060,0,7fe,002,7fe,002,797,-296,1,1,1,1
2061,2061,0,7fe,002,7fe,002,2047,707,1,1,1,1
2062,2062,0,ffe,7fe,ffe,7fe,1315,1105,1,1,1,1
2063,2063,0,ffe,7fe,ffe,7fe,91,678,1,1,1,1
2064,2064,0,802,ffe,802,ffe,-674,54,1,1,1,1
2065,2065,0,802,ffe,802,ffe,-1223,-3,1,1,1,1
2066,2066,0,002,802,002,802,-1429,-713,1,1,1,1
2067,2067,0,002,802,002,802,-1180,-1338,1,1,1,1
2068,2068,0,7fe,002,7fe,002,777,-356,1,1,1,1
2069,2069,0,7fe,002,7fe,002,2047,711,1,1,1,1
2070,2070,0,ffe,7fe,ffe,7fe,1317,1101,1,1,1,1
2071,2071,0,ffe,7fe,ffe,7fe,101,687,1,1,1,1
2072,2072,0,802,ffe,802,ffe,-673,-59,1,1,1,1
2073,2073,0,002,802,002,802,-1419,-936,1,1,1,1
2074,2074,0,002,802,002,802,-1554,-1332,1,1,1,1
2075,2075,0,7fe,002,7fe,002,-1212,-319,1,1,1,1
2076,2076,0,7fe,002,7fe,002,-1082,360,1,1,1,1
2077,2077,0,ffe,7fe,ffe,7fe,-1354,-641,1,1,1,1
2078,2078,0,ffe,7fe,ffe,7fe,-1214,-1392,1,1,1,1
2079,2079,0,802,ffe,802,ffe,756,-364,1,1,1,1
2080,2080,0,802,ffe,802,ffe,2047,746,1,1,1,1
2081,2081,0,002,802,002,802,1350,1112,1,1,1,1
2082,2082,0,002,802,002,802,83,646,1,1,1,1
2083,2083,0,7fe,002,7fe,002,-701,66,1,1,1,1
2084,2084,0,7fe,002,7fe,002,-1213,2,1,1,1,1
2085,2085,0,ffe,7fe,ffe,7fe,-1453,-700,1,1,1,1
2086,2086,0,ffe,7fe,ffe,7fe,-1171,-1349,1,1,1,1
2087,2087,0,802,ffe,802,ffe,647,-190,1,1,1,1
2088,2088,0,002,802,002,802,1483,1374,1,1,1,1
2089,2089,0,002,802,002,802,320,904,1,1,1,1
2090,2090,0,802,ffe,802,ffe,-759,-15,1,1,1,1
2091,2091,0,802,ffe,802,ffe,-1240,-58,1,1,1,1
2092,2092,0,002,802,002,802,-1445,-703,1,1,1,1
2093,2093,0,002,802,002,802,-1167,-1299,1,1,1,1
2094,2094,0,7fe,002,7fe,002,762,-338,1,1,1,1
2095,2095,0,7fe,002,7fe,002,2047,729,1,1,1,1
2096,2096,0,ffe,7fe,ffe,7fe,1357,1126,1,1,1,1
2097,2097,0,ffe,7fe,ffe,7fe,89,671,1,1,1,1
2098,2098,0,802,ffe,802,ffe,-690,65,1,1,1,1
2099,2099,0,802,ffe,802,ffe,-1213,-23,1,1,1,1
2100,2100,0,002,802,002,802,-1438,-675,1,1,1,1
2101,2101,0,002,802,002,802,-1182,-1344,1,1,1,1
2102,2102,0,7fe,002,7fe,002,642,-178,1,1,1,1
2103,2103,0,ffe,7fe,ffe,7fe,1481,1390,1,1,1,1
2104,2104,0,ffe,7fe,ffe,7fe,609,809,1,1,1,1
2105,2105,0,802,ffe,802,ffe,1216,-612,1,1,1,1
2106,2106,0,802,ffe,802,ffe,2047,-212,1,1,1,1
2107,2107,0,002,802,002,802,1296,1078,1,1,1,1
2108,2108,0,002,802,002,802,140,827,1,1,1,1
2109,2109,0,7fe,002,7fe,002,-688,63,1,1,1,1
2110,2110,0,7fe,002,7fe,002,-1238,-44,1,1,1,1
2111,2111,0,ffe,7fe,ffe,7fe,-1463,-677,1,1,1,1
2112,2112,0,ffe,7fe,ffe,7fe,-1167,-1281,1,1,1,1
2113,2113,0,802,ffe,802,ffe,755,-354,1,1,1,1
2114,2114,0,802,ffe,802,ffe,2047,707,1,1,1,1
2115,2115,0,002,802,002,802,1329,1103,1,1,1,1
2116,2116,0,002,802,002,802,101,679,1,1,1,1
2117,2117,0,7fe,002,7fe,002,-673,-84,1,1,1,1
2118,2118,0,ffe,7fe,ffe,7fe,-1454,-918,1,1,1,1
2119,2119,0,ffe,7fe,ffe,7fe,-1284,-1343,1,1,1,1
2120,2120,0,7fe,002,7fe,002,783,-325,1,1,1,1
2121,2121,0,7fe,002,7fe,002,2047,747,1,1,1,1
2122,2122,0,ffe,7fe,ffe,7fe,1343,1079,1,1,1,1
2123,2123,0,ffe,7fe,ffe,7fe,73,648,1,1,1,1
2124,2124,0,802,ffe,802,ffe,-684,92,1,1,1,1
2125,2125,0,802,ffe,802,ffe,-1224,-11,1,1,1,1
2126,2126,0,002,802,002,802,-1459,-688,1,1,1,1
2127,2127,0,002,802,002,802,-1163,-1308,1,1,1,1
2128,2128,0,7fe,002,7fe,002,776,-344,1,1,1,1
2129,2129,0,7fe,002,7fe,002,2047,701,1,1,1,1
2130,2130,0,ffe,7fe,ffe,7fe,1329,1109,1,1,1,1
2131,2131,0,ffe,7fe,ffe,7fe,113,688,1,1,1,1
2132,2132,0,802,ffe,802,ffe,-693,-88,1,1,1,1
2133,2133,0,002,802,002,802,-1427,-912,1,1,1,1
2134,2134,0,002,802,002,802,-1540,-1320,1,1,1,1
2135,2135,0,7fe,002,7fe,002,-1242,-329,1,1,1,1
2136,2136,0,7fe,002,7fe,002,-1094,368,1,1,1,1
2137,2137,0,ffe,7fe,ffe,7fe,-1347,-618,1,1,1,1
2138,2138,0,ffe,7fe,ffe,7fe,-1239,-1412,1,1,1,1
2139,2139,0,802,ffe,802,ffe,737,-323,1,1,1,1
2140,2140,0,802,ffe,802,ffe,2047,723,1,1,1,1
2141,2141,0,002,802,002,802,1307,1092,1,1,1,1
2142,2142,0,002,802,002,802,99,674,1,1,1,1
2143,2143,0,7fe,002,7fe,002,-681,71,1,1,1,1
2144,2144,0,7fe,002,7fe,002,-1252,-17,1,1,1,1
2145,2145,0,ffe,7fe,ffe,7fe,-1434,-702,1,1,1,1
2146,2146,0,ffe,7fe,ffe,7fe,-1162,-1343,1,1,1,1
2147,2147,0,802,ffe,802,ffe,618,-182,1,1,1,1
2148,2148,0,002,802,002,802,1500,1345,1,1,1,1
2149,2149,0,002,802,002,802,347,937,1,1,1,1
2150,2150,0,802,ffe,802,ffe,-781,-26,1,1,1,1
2151,2151,0,802,ffe,802,ffe,-1255,-93,1,1,1,1
2152,2152,0,002,802,002,802,-1429,-660,1,1,1,1
2153,2153,0,002,802,002,802,-1185,-1315,1,1,1,1
2154,2154,0,7fe,002,7fe,002,740,-361,1,1,1,1
2155,2155,0,7fe,002,7fe,002,2047,722,1,1,1,1
2156,2156,0,ffe,7fe,ffe,7fe,1328,1091,1,1,1,1
2157,2157,0,ffe,7fe,ffe,7fe,79,638,1,1,1,1
2158,2158,0,802,ffe,802,ffe,-688,85,1,1,1,1
2159,2159,0,802,ffe,802,ffe,-1200,-25,1,1,1,1
2160,2160,0,002,802,002,802,-1471,-718,1,1,1,1
2161,2161,0,002,802,002,802,-1182,-1317,1,1,1,1
2162,2162,0,7fe,002,7fe,002,665,-196,1,1,1,1
2163,2163,0,ffe,7fe,ffe,7fe,1443,1386,1,1,1,1
2164,2164,0,ffe,7fe,ffe,7fe,648,836,1,1,1,1
2165,2165,0,802,ffe,802,ffe,1210,-594,1,1,1,1
2166,2166,0,802,ffe,802,ffe,2047,-238,1,1,1,1
2167,2167,0,002,802,002,802,1303,1095,1,1,1,1
2168,2168,0,002,802,002,802,130,848,1,1,1,1
2169,2169,0,7fe,002,7fe,002,-711,42,1,1,1,1
2170,2170,0,7fe,002,7fe,002,-1221,-61,1,1,1,1
2171,2171,0,ffe,7fe,ffe,7fe,-1437,-696,1,1,1,1
