Sample in Buffer,Sample in Window,TRIGGER,tsm_I_1[11:0],tsm_Q_1[11:0],tsm_I[11:0],tsm_Q[11:0],rev_I[11:0],rev_Q[11:0],rev_valid_1,rev_valid_2,rev_valid_3,rev_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,SIGNED,SIGNED,HEX,HEX,HEX,HEX
6508,6508,0,ffe,7fe,ffe,7fe,2047,-188,1,1,1,1
6509,6509,0,ffe,7fe,ffe,7fe,1288,1075,1,1,1,1
6510,6510,0,802,ffe,802,ffe,120,825,1,1,1,1
6511,6511,0,802,ffe,802,ffe,-672,37,1,1,1,1
6512,6512,0,002,802,002,802,-1207,-44,1,1,1,1
6513,6513,0,002,802,002,802,-1409,-698,1,1,1,1
6514,6514,0,7fe,002,7fe,002,-1176,-1322,1,1,1,1
6515,6515,0,7fe,002,7fe,002,775,-372,1,1,1,1
6516,6516,0,ffe,7fe,ffe,7fe,2047,714,1,1,1,1
6517,6517,0,ffe,7fe,ffe,7fe,1330,1113,1,1,1,1
6518,6518,0,802,ffe,802,ffe,90,687,1,1,1,1
6519,6519,0,802,ffe,802,ffe,-676,66,1,1,1,1
6520,6520,0,002,802,002,802,-1218,-55,1,1,1,1
6521,6521,0,002,802,002,802,-1422,-690,1,1,1,1
6522,6522,0,7fe,002,7fe,002,-1163,-1320,1,1,1,1
6523,6523,0,7fe,002,7fe,002,758,-345,1,1,1,1
6524,6524,0,ffe,7fe,ffe,7fe,2047,723,1,1,1,1
6525,6525,0,ffe,7fe,ffe,7fe,1334,1119,1,1,1,1
6526,6526,0,7fe,002,7fe,002,79,659,1,1,1,1
6527,6527,0,7fe,002,7fe,002,-670,61,1,1,1,1
6528,6528,0,ffe,7fe,ffe,7fe,-1204,-21,1,1,1,1
6529,6529,0,ffe,7fe,ffe,7fe,-1429,-718,1,1,1,1
6530,6530,0,802,ffe,802,ffe,-1160,-1332,1,1,1,1
6531,6531,0,802,ffe,802,ffe,765,-333,1,1,1,1
6532,6532,0,002,802,002,802,2047,704,1,1,1,1
6533,6533,0,002,802,002,802,1345,1089,1,1,1,1
6534,6534,0,7fe,002,7fe,002,79,670,1,1,1,1
6535,6535,0,7fe,002,7fe,002,-697,68,1,1,1,1
6536,6536,0,ffe,7fe,ffe,7fe,-1235,-9,1,1,1,1
6537,6537,0,ffe,7fe,ffe,7fe,-1376,-687,1,1,1,1
6538,6538,0,802,ffe,802,ffe,-1422,-1343,1,1,1,1
6539,6539,0,802,ffe,802,ffe,-1241,-377,1,1,1,1
6540,6540,0,002,802,002,802,-1086,367,1,1,1,1
6541,6541,0,002,802,002,802,-1358,-613,1,1,1,1
6542,6542,0,7fe,002,7fe,002,-1215,-1423,1,1,1,1
6543,6543,0,7fe,002,7fe,002,776,-332,1,1,1,1
6544,6544,0,ffe,7fe,ffe,7fe,2047,709,1,1,1,1
6545,6545,0,ffe,7fe,ffe,7fe,1304,1093,1,1,1,1
6546,6546,0,802,ffe,802,ffe,90,667,1,1,1,1
6547,6547,0,802,ffe,802,ffe,-685,79,1,1,1,1
6548,6548,0,002,802,002,802,-1222,-22,1,1,1,1
6549,6549,0,002,802,002,802,-1409,-692,1,1,1,1
6550,6550,0,7fe,002,7fe,002,-1189,-1306,1,1,1,1
6551,6551,0,7fe,002,7fe,002,760,-370,1,1,1,1
6552,6552,0,ffe,7fe,ffe,7fe,2047,721,1,1,1,1
6553,6553,0,ffe,7fe,ffe,7fe,1330,1117,1,1,1,1
6554,6554,0,802,ffe,802,ffe,65,657,1,1,1,1
6555,6555,0,802,ffe,802,ffe,-672,76,1,1,1,1
6556,6556,0,002,802,002,802,-1181,-30,1,1,1,1
6557,6557,0,002,802,002,802,-1421,-726,1,1,1,1
6558,6558,0,802,ffe,802,ffe,-1162,-1308,1,1,1,1
6559,6559,0,802,ffe,802,ffe,773,-338,1,1,1,1
6560,6560,0,002,802,002,802,2047,699,1,1,1,1
6561,6561,0,002,802,002,802,1334,1109,1,1,1,1
6562,6562,0,7fe,002,7fe,002,108,660,1,1,1,1
6563,6563,0,7fe,002,7fe,002,-708,70,1,1,1,1
6564,6564,0,ffe,7fe,ffe,7fe,-1195,-7,1,1,1,1
6565,6565,0,ffe,7fe,ffe,7fe,-1420,-724,1,1,1,1
6566,6566,0,802,ffe,802,ffe,-1168,-1333,1,1,1,1
6567,6567,0,802,ffe,802,ffe,773,-358,1,1,1,1
6568,6568,0,002,802,002,802,2047,713,1,1,1,1
6569,6569,0,002,802,002,802,1306,1104,1,1,1,1
6570,6570,0,7fe,002,7fe,002,369,565,1,1,1,1
6571,6571,0,7fe,002,7fe,002,1322,-500,1,1,1,1
6572,6572,0,ffe,7fe,ffe,7fe,2047,-189,1,1,1,1
6573,6573,0,ffe,7fe,ffe,7fe,1266,1061,1,1,1,1
6574,6574,0,802,ffe,802,ffe,151,836,1,1,1,1
6575,6575,0,802,ffe,802,ffe,-667,38,1,1,1,1
6576,6576,0,002,802,002,802,-1207,-58,1,1,1,1
6577,6577,0,002,802,002,802,-1428,-676,1,1,1,1
6578,6578,0,7fe,002,7fe,002,-1176,-1313,1,1,1,1
6579,6579,0,7fe,002,7fe,002,764,-366,1,1,1,1
6580,6580,0,ffe,7fe,ffe,7fe,2047,705,1,1,1,1
6581,6581,0,ffe,7fe,ffe,7fe,1324,1110,1,1,1,1
6582,6582,0,802,ffe,802,ffe,64,653,1,1,1,1
6583,6583,0,802,ffe,802,ffe,-656,77,1,1,1,1
6584,6584,0,002,802,002,802,-1201,-24,1,1,1,1
6585,6585,0,002,802,002,802,-1422,-732,1,1,1,1
6586,6586,0,7fe,002,7fe,002,-1175,-1302,1,1,1,1
6587,6587,0,7fe,002,7fe,002,759,-329,1,1,1,1
6588,6588,0,ffe,7fe,ffe,7fe,2047,687,1,1,1,1
6589,6589,0,ffe,7fe,ffe,7fe,1351,1106,1,1,1,1
6590,6590,0,7fe,002,7fe,002,92,677,1,1,1,1
6591,6591,0,7fe,002,7fe,002,-690,63,1,1,1,1
6592,6592,0,ffe,7fe,ffe,7fe,-1195,-10,1,1,1,1
6593,6593,0,ffe,7fe,ffe,7fe,-1394,-701,1,1,1,1
6594,6594,0,802,ffe,802,ffe,-1170,-1341,1,1,1,1
6595,6595,0,802,ffe,802,ffe,773,-367,1,1,1,1
6596,6596,0,002,802,002,802,2047,729,1,1,1,1
6597,6597,0,002,802,002,802,1316,1088,1,1,1,1
6598,6598,0,7fe,002,7fe,002,96,667,1,1,1,1
6599,6599,0,7fe,002,7fe,002,-643,84,1,1,1,1
6600,6600,0,ffe,7fe,ffe,7fe,-1244,-23,1,1,1,1
6601,6601,0,ffe,7fe,ffe,7fe,-1377,-702,1,1,1,1
6602,6602,0,802,ffe,802,ffe,-1397,-1328,1,1,1,1
6603,6603,0,802,ffe,802,ffe,-1255,-381,1,1,1,1
6604,6604,0,002,802,002,802,-1069,354,1,1,1,1
6605,6605,0,002,802,002,802,-1341,-621,1,1,1,1
6606,6606,0,7fe,002,7fe,002,-1222,-1407,1,1,1,1
6607,6607,0,7fe,002,7fe,002,760,-354,1,1,1,1
6608,6608,0,ffe,7fe,ffe,7fe,2047,726,1,1,1,1
6609,6609,0,ffe,7fe,ffe,7fe,1340,1104,1,1,1,1
6610,6610,0,802,ffe,802,ffe,82,651,1,1,1,1
6611,6611,0,802,ffe,802,ffe,-670,75,1,1,1,1
6612,6612,0,002,802,002,802,-1195,-35,1,1,1,1
6613,6613,0,002,802,002,802,-1421,-716,1,1,1,1
6614,6614,0,7fe,002,7fe,002,-1156,-1288,1,1,1,1
6615,6615,0,7fe,002,7fe,002,764,-341,1,1,1,1
6616,6616,0,ffe,7fe,ffe,7fe,2047,684,1,1,1,1
6617,6617,0,ffe,7fe,ffe,7fe,1341,1125,1,1,1,1
6618,6618,0,802,ffe,802,ffe,82,659,1,1,1,1
6619,6619,0,802,ffe,802,ffe,-679,67,1,1,1,1
6620,6620,0,002,802,002,802,-1191,-29,1,1,1,1
6621,6621,0,002,802,002,802,-1416,-698,1,1,1,1
6622,6622,0,802,ffe,802,ffe,-1162,-1330,1,1,1,1
6623,6623,0,802,ffe,802,ffe,767,-334,1,1,1,1
6624,6624,0,002,802,002,802,2047,723,1,1,1,1
6625,6625,0,002,802,002,802,1320,1086,1,1,1,1
6626,6626,0,7fe,002,7fe,002,86,659,1,1,1,1
6627,6627,0,7fe,002,7fe,002,-685,79,1,1,1,1
6628,6628,0,ffe,7fe,ffe,7fe,-1199,-39,1,1,1,1
6629,6629,0,ffe,7fe,ffe,7fe,-1397,-721,1,1,1,1
6630,6630,0,802,ffe,802,ffe,-1145,-1315,1,1,1,1
6631,6631,0,802,ffe,802,ffe,760,-371,1,1,1,1
6632,6632,0,002,802,002,802,2047,707,1,1,1,1
6633,6633,0,002,802,002,802,1322,1142,1,1,1,1
6634,6634,0,7fe,002,7fe,002,342,575,1,1,1,1
6635,6635,0,7fe,002,7fe,002,1309,-515,1,1,1,1
6636,6636,0,ffe,7fe,ffe,7fe,2047,-186,1,1,1,1
6637,6637,0,ffe,7fe,ffe,7fe,1262,1090,1,1,1,1
6638,6638,0,802,ffe,802,ffe,145,824,1,1,1,1
6639,6639,0,802,ffe,802,ffe,-648,28,1,1,1,1
6640,6640,0,002,802,002,802,-1200,-36,1,1,1,1
6641,6641,0,002,802,002,802,-1418,-722,1,1,1,1
6642,6642,0,7fe,002,7fe,002,-1171,-1317,1,1,1,1
6643,6643,0,7fe,002,7fe,002,754,-355,1,1,1,1
6644,6644,0,ffe,7fe,ffe,7fe,2047,706,1,1,1,1
6645,6645,0,ffe,7fe,ffe,7fe,1333,1108,1,1,1,1
